name,wild
Aspidites melanocephalus,0
Aspidites ramsayi,0
Bothrochilus,0.67
Bothrochilus boa,0.67
Leiopython,0.48
Leiopython albertisii,0.48
Liasis,0.47
Liasis fuscus,0.64
Liasis mackloti,0.41
Liasis olivaceus,0
Morelia,0.25
Morelia amethistina,0.36
Morelia boeleni,0
Morelia bredli,0
Morelia carinata,0
Morelia clastolepis,1
Morelia nauta,1
Morelia spilota,0.32
Morelia tracyae,1
Morelia viridis,0.03
Python,0.44
Python anchietae,0.15
Python bivittatus,0.08
Python breitensteini,0.84
Python brongersmai,0.84
Python curtus,0.74
Python hybrid,0
Python molurus,0.1
Python natalensis,0
Python regius,0.03
Python reticulatus,0.49
Python sebae,0.96
Python spp.,1
Python timoriensis,0
Tropidophiidae,0
Tropidophis,0
Tropidophis wrighti,0
Viperidae,0.13
Crotalus,0.5
Crotalus durissus,0.5
Daboia,0.13
Daboia russelii,0.13
Trimeresurus,0
Trimeresurus mangshanensis,0
Vipera,0
Vipera wagneri,0
Testudines,0.23
Chelydridae,1
Macrochelys,1
Macrochelys temminckii,1
Emydidae,0.58
Graptemys,0.58
Graptemys barbouri,0
Graptemys flavimaculata,0
Graptemys gibbonsi,0
Graptemys hybrid,1
Graptemys nigrinoda,0.2
Graptemys oculifera,0
Graptemys ouachitensis,1
Graptemys pseudogeographica,0.63
Geoemydidae,0.22
Mauremys,0.22
Mauremys iversoni,0
Mauremys pritchardi,0
Mauremys reevesii,0.27
Mauremys sinensis,0.18
Podocnemididae,0.12
Erymnochelys,1
Erymnochelys madagascariensis,1
Podocnemis,0
Podocnemis unifilis,0
Podocnemis vogli,0
Testudinidae,0.16
Aldabrachelys,0
Aldabrachelys gigantea,0
Centrochelys,0.03
Centrochelys sulcata,0.03
Chelonoidis,0.28
Chelonoidis carbonarius,0.21
Chelonoidis chilensis,0.33
Chelonoidis denticulatus,0.47
Chersina,0
Chersina angulata,0
Geochelone,0
Geochelone elegans,0
Gopherus,0
Gopherus berlandieri,0
Homopus,0
Homopus areolatus,0
Homopus signatus,0
Indotestudo,0.36
Indotestudo elongata,0
Indotestudo forstenii,0.44
Kinixys,0.74
Kinixys belliana,0.5
Kinixys erosa,1
Kinixys homeana,1
Kinixys spekii,0.33
Malacochersus,0
Malacochersus tornieri,0
Manouria,0.26
Manouria emys,0.29
Manouria impressa,0
Stigmochelys,0.09
Stigmochelys pardalis,0.09
Testudo,0.13
Testudo graeca,0.05
Testudo hermanni,0
Testudo horsfieldii,0.47
Testudo marginata,0
Trionychidae,0.97
Amyda,1
Amyda cartilaginea,1
Dogania,1
Dogania subplana,1
Palea,0
Palea steindachneri,0
Pelochelys,1
Pelochelys bibroni,1
Pelochelys cantorii,1
Pelochelys signifera,1
Rafetus,1
Rafetus swinhoei,1
Nasua nasua,1
Amazilia brevirostris,1
Psittacus erithacus timneh,0.31
Neoceratodus forsteri,0
